compound,leaf-01,leaf-02,leaf-03,leaf-04,leaf-05,leaf-06,leaf-07,leaf-08,leaf-09,leaf-10,seed-01,seed-02,seed-03,seed-04,seed-05,seed-06,seed-07,seed-08,seed-09,seed-10
V1,758.0,783.0,789.0,859.0,837.0,759.0,1055.0,763.0,881.0,689.0,849915.0,1249.0,79177.0,666283.0,849915.0,23409.0,849915.0,3801.0,849915.0,849915.0
V2,584.0,703.0,719.0,687.0,583.0,602.0,713.0,632.0,632.0,636.0,849915.0,849915.0,849915.0,849915.0,849915.0,849915.0,849915.0,849915.0,849915.0,849915.0
V3,226.0,0.0,411.0,478.0,346.0,397.0,428.0,0.0,396.0,343.0,589879.0,598321.0,605724.0,600662.0,588387.0,589528.0,606355.0,582492.0,587390.0,596184.0
V4,34080.0,33098.0,33666.0,33117.0,32486.0,32682.0,31707.0,32853.0,32965.0,31463.0,200552.0,198948.0,196537.0,195079.0,191823.0,193035.0,195493.0,194003.0,194510.0,189977.0
V5,167501.0,175520.0,171559.0,163139.0,172987.0,167470.0,179371.0,173354.0,178174.0,170650.0,5475.0,4695.0,5086.0,5853.0,5257.0,5367.0,3873.0,5495.0,4093.0,5535.0
V6,167501.0,162774.0,171559.0,174777.0,145516.0,171518.0,179371.0,151205.0,178174.0,170650.0,3388.0,3769.0,5004.0,3094.0,3447.0,4323.0,5441.0,2393.0,5029.0,4955.0
V7,166137.0,167398.0,171974.0,169173.0,168816.0,169107.0,171456.0,169618.0,168515.0,165830.0,3071.0,3123.0,2896.0,2726.0,2636.0,2711.0,2618.0,2850.0,2792.0,2412.0
V8,22897.0,24321.0,24144.0,24248.0,23979.0,24694.0,24912.0,24295.0,25055.0,23080.0,128514.0,145106.0,151177.0,149952.0,149252.0,155630.0,151698.0,158000.0,158264.0,154015.0
V9,31843.0,34605.0,35919.0,34144.0,34283.0,34847.0,35833.0,34781.0,34508.0,32707.0,156178.0,35533.0,36530.0,34597.0,35456.0,35855.0,36708.0,35818.0,37119.0,35317.0
V10,22897.0,24321.0,24144.0,24248.0,23979.0,24694.0,24912.0,24295.0,25055.0,23080.0,68616.0,2233.0,23656.0,149952.0,145684.0,120703.0,151698.0,1851.0,34663.0,45734.0
V11,145447.0,143990.0,142986.0,148129.0,147329.0,146737.0,146775.0,147946.0,146465.0,142528.0,142546.0,140648.0,141034.0,144761.0,148441.0,146159.0,148122.0,149966.0,149203.0,142525.0
V12,3570.0,3804.0,3814.0,3895.0,4160.0,3792.0,3466.0,3694.0,3681.0,3992.0,127179.0,133646.0,136323.0,133817.0,134094.0,140151.0,138751.0,141706.0,135943.0,139758.0
V13,762.0,926.0,843.0,830.0,870.0,804.0,796.0,751.0,981.0,733.0,103490.0,109231.0,109324.0,109600.0,109533.0,109297.0,113841.0,111540.0,108233.0,114276.0
V14,3115.0,3254.0,3476.0,3145.0,3095.0,2831.0,2865.0,3026.0,3296.0,3233.0,85587.0,89837.0,92254.0,91621.0,94084.0,94425.0,92157.0,95358.0,95509.0,95323.0
V15,76949.0,82597.0,82694.0,85262.0,81267.0,83463.0,77385.0,86937.0,83505.0,81991.0,607.0,628.0,885.0,690.0,667.0,502.0,581.0,708.0,685.0,577.0
V16,133.0,0.0,0.0,115.0,124.0,0.0,0.0,0.0,124.0,0.0,81074.0,71771.0,71443.0,73372.0,74013.0,73561.0,73778.0,75663.0,75956.0,75765.0
V17,68562.0,66977.0,66219.0,69231.0,68529.0,66066.0,67426.0,64963.0,69931.0,65589.0,58899.0,61848.0,63952.0,63557.0,67137.0,69938.0,69370.0,69162.0,70712.0,68017.0
V18,67358.0,68765.0,66212.0,67787.0,67497.0,65649.0,67723.0,66820.0,69510.0,68319.0,7304.0,6320.0,6235.0,6161.0,5842.0,5914.0,5962.0,5771.0,6406.0,6310.0
V19,27130.0,28784.0,28167.0,28710.0,29229.0,28848.0,29879.0,29148.0,29234.0,27509.0,65389.0,63400.0,66569.0,64455.0,67635.0,67745.0,69309.0,68037.0,66626.0,68921.0
V20,57565.0,26515.0,63253.0,62128.0,62081.0,61164.0,58600.0,64395.0,62392.0,60986.0,719.0,683.0,650.0,882.0,714.0,780.0,629.0,757.0,764.0,746.0
V21,21720.0,22865.0,22970.0,20770.0,21307.0,21677.0,21685.0,20949.0,22279.0,21133.0,56536.0,62537.0,64002.0,62886.0,61086.0,61050.0,61127.0,63469.0,62904.0,62405.0
V22,354.0,298.0,282.0,320.0,331.0,268.0,290.0,356.0,249.0,291.0,53946.0,60114.0,59142.0,59940.0,60812.0,60170.0,59764.0,59596.0,60491.0,58007.0
V23,47331.0,51462.0,53461.0,54704.0,51985.0,54715.0,52811.0,53823.0,54099.0,54854.0,51122.0,57815.0,57282.0,56442.0,58990.0,59178.0,60293.0,59574.0,59168.0,58005.0
V24,104.0,65.0,77.0,0.0,0.0,79.0,87.0,82.0,71.0,81.0,9934.0,58575.0,58133.0,58358.0,58077.0,56797.0,57481.0,57983.0,58063.0,56691.0
V25,49447.0,53169.0,55485.0,55782.0,54052.0,56112.0,51924.0,57725.0,54522.0,57090.0,1633.0,1515.0,1646.0,1555.0,1397.0,1438.0,1772.0,1683.0,1853.0,1590.0
V26,50281.0,53245.0,55057.0,56023.0,55117.0,53976.0,52762.0,55053.0,56540.0,54635.0,41533.0,43429.0,44779.0,44059.0,46412.0,45761.0,45674.0,46705.0,45739.0,48796.0
V27,8360.0,8861.0,8368.0,8785.0,9076.0,8511.0,8669.0,8144.0,8246.0,8804.0,55370.0,30238.0,30500.0,30422.0,30315.0,29357.0,31575.0,29510.0,28963.0,29699.0
V28,10214.0,10707.0,10699.0,10810.0,10315.0,10362.0,10391.0,10265.0,10102.0,10604.0,49230.0,47330.0,47838.0,49182.0,46370.0,49642.0,49537.0,49909.0,48683.0,49442.0
V29,43322.0,45925.0,47259.0,46857.0,46987.0,46941.0,47031.0,47308.0,48081.0,49408.0,8213.0,7735.0,8181.0,7419.0,8344.0,8122.0,8266.0,8256.0,8058.0,8454.0
V30,197.0,0.0,0.0,185.0,217.0,0.0,318.0,0.0,0.0,303.0,41408.0,42439.0,44736.0,43909.0,41718.0,42796.0,44020.0,42957.0,42126.0,43277.0
V31,23522.0,24364.0,23840.0,23841.0,23812.0,22897.0,23968.0,23865.0,23162.0,23034.0,43271.0,41588.0,42218.0,42585.0,42174.0,41254.0,43389.0,41889.0,42234.0,41204.0
V32,3611.0,3755.0,3881.0,3676.0,3952.0,3630.0,3566.0,3634.0,3713.0,3753.0,39371.0,40936.0,41432.0,42704.0,42527.0,42038.0,41556.0,42623.0,43339.0,41560.0
V33,821.0,882.0,794.0,875.0,870.0,810.0,827.0,820.0,997.0,746.0,42944.0,41074.0,42206.0,40863.0,39706.0,41501.0,40902.0,43248.0,42336.0,40076.0
