compound,leaf-01,leaf-02,leaf-03,leaf-04,leaf-05,leaf-06,leaf-07,leaf-08,leaf-09,leaf-10,seed-01,seed-02,seed-03,seed-04,seed-05,seed-06,seed-07,seed-08,seed-09,seed-10
V1,758,783,789,859,837,794,1055,763,881,737,849915,1249,79177,666283,849915,23409,849915,3801,849915,849915
V2,648,703,719,687,626,794,713,713,738,737,849915,849915,849915,849915,849915,849915,849915,849915,849915,849915
V3,226,0,411,478,346,397,428,0,396,343,589879,598321,605724,600662,588387,589528,606355,582492,587390,596184
V4,34080,33098,33666,33117,32486,32682,31707,32853,32965,31463,200552,198948,196537,195079,191823,193035,195493,194003,194510,189977
V5,167501,175520,171559,163139,172987,167470,179371,173354,178174,170650,5475,4695,5086,5853,5257,5367,3873,5495,4093,5535
V6,167501.1,162774,171559,174777,145516,171518,179371,151205,178174,170650,3388,3769,5004,3094,3447,4323,5441,2393,5029,4955
V7,166137,167398,171974,169173,168816,169107,171456,169618,168515,165830,3071,3123,2896,2726,2636,2711,2618,2850,2792,2412
V8,22897,24321,24144,24248,23979,24694,24912,24295,25055,23080,128514,145106,151177,149952,149252,155630,151698,158000,158264,154015
V9,31843,34605,35919,34144,34283,34847,35833,34781,34508,32707,156178,35533,36530,34597,35456,35855,36708,35818,37119,35317
V10,22897.1,24321,24144,24248,23979,24694,24912,24295,25055,23080,68616,2233,23656,149952,145684,120703,151698,1851,34663,45734
V11,145447,143990,142986,148129,147329,146737,146775,147946,146465,142528,142546,140648,141034,144761,148441,146159,148122,149966,149203,142525
V12,3570,3804,3814,3895,4160,3792,3466,3694,3681,3992,127179,133646,136323,133817,134094,140151,138751,141706,135943,139758
V13,762,926,843,830,870,804,796,751,981,733,103490,109231,109324,109600,109533,109297,113841,111540,108233,114276
V14,176,208,276,180,0,175,269,0,0,260,105628,107387,108282,113024,110907,112409,109885,113130,113835,105581
V15,3570.1,3254,3476,3145,3095,2831,2865,3026,3296,3233,85587,89837,92254,91621,94084,94425,92157,95358,95509,95323
V16,76949,82597,82694,85262,81267,83463,77385,86937,83505,81991,607,628,885,690,667,502,581,708,685,577
V17,133,0,0,115,124,0,0,0,124,0,81074,71771,71443,73372,74013,73561,73778,75663,75956,75765
V18,68562,66977,66219,69231,68529,66066,67426,64963,69931,65589,58899,61848,63952,63557,67137,69938,69370,69162,70712,68017
V19,67358,68765,66212,67787,67497,65649,67723,66820,69510,68319,7304,6320,6235,6161,5842,5914,5962,5771,6406,6310
V20,27130,28784,28167,28710,29229,28848,29879,29148,29234,27509,65389,63400,66569,64455,67635,67745,69309,68037,66626,68921
V21,57565,26515,63253,62128,62081,61164,58600,64395,62392,60986,719,683,650,882,714,780,629,757,764,746
V22,21720,22865,22970,20770,21307,21677,21685,20949,22279,21133,56536,62537,64002,62886,61086,61050,61127,63469,62904,62405
V23,354,298,282,320,331,268,290,356,249,291,53946,60114,59142,59940,60812,60170,59764,59596,60491,58007
V24,47331,51462,53461,54704,51985,54715,52811,53823,54099,54854,51122,57815,57282,56442,58990,59178,60293,59574,59168,58005
V25,104,65,77,0,0,79,87,82,71,81,9934,58575,58133,58358,58077,56797,57481,57983,58063,56691
